Country,Continent,Male,Female,Total
Australia,Oceania,9364,9633,18997
Austria,Europe,8770,9620,18390
Belgium,Europe,8318,8641,16959
Czech Republic,Europe,6902,7827,14729
France,Europe,147454,154584,302038
Germany,Europe,62314,66786,129100
India,Asia,43584,32089,75673
Italy,Europe,20662,21329,41991
Madagascar,Africa,7738,8241,15979
Netherlands,Europe,8276,8538,16814
China,Asia,21266,21474,42740
Reunion Island,Africa,66159,71411,137570
Russia,Europe,5085,6106,11191
Seychelles,Africa,3134,3704,6838
South Africa,Africa,58602,59954,118556
Spain,Europe,7153,7154,14307
Sweden,Europe,6440,6775,13215
Switzerland,Europe,19924,22121,42045
UAE,Asia,7406,6593,13999
UK,Europe,69467,72053,141520
USA,North America,5352,5055,10407